timestamp,side,quantity,price,calculated_amount,fee,PnL,Cumulative_PnL
2024-03-08 23:11:00,0,0.00012366,95404000,11797.65864,5.89,11791.76864,-97378.01388999436
2024-03-08 23:12:00,1,0.0037,95483000,353287.10000000003,176.64,-353463.74000000005,-450841.7538899944
2024-03-08 23:13:00,0,0.05,95104000,4755200.0,2377.6,4752822.4,4301980.646110006
2024-03-08 23:13:00,1,0.00016136,95215000,15363.892399999999,7.68,-15371.5724,4286609.073710006
2024-03-08 23:13:00,1,0.04983864,95215000,4745386.1076,2372.69,-4747758.7976,-461149.72388999444
2024-03-08 23:14:00,0,0.05,95138000,4756900.0,2378.45,4754521.55,4293371.826110005
2024-03-08 23:14:00,0,0.00072889,95137000,69344.40793,34.67,69309.73793,4362681.564040005
2024-03-08 23:17:00,0,0.0010545,95303000,100497.01350000002,50.24,100446.77350000001,4463128.337540005
2024-03-08 23:17:00,0,0.03464379,95303000,3301657.1183700003,1650.82,3300006.2983700004,7763134.635910006
2024-03-08 23:18:00,1,5.762e-05,95437000,5499.07994,2.74,-5501.819939999999,7757632.815970006
2024-03-08 23:18:00,1,0.00031715,95437000,30267.844549999998,15.13,-30282.97455,7727349.841420006
2024-03-08 23:18:00,1,0.03864999,95436000,3688600.44564,1844.3,-3690444.74564,4036905.095780006
2024-03-08 23:18:00,1,0.00524,95436000,500084.64,250.04,-500334.68,3536570.415780006
2024-03-08 23:18:00,1,0.00611001,95436000,583114.9143599999,291.55,-583406.46436,2953163.951420006
